Vom2r1	NM_001099461	1	-	245887	267011	245887	267011	7	245887,256156,257489,258566,259804,260546,266805,	246774,256280,257714,259370,260077,260562,267011,
Vom2r2	NM_001099457	1	+	760657	765914	760753	765914	4	760657,762313,763741,765030,	761461,762538,763865,765914,
Vom2r3	NM_001099460	1	+	1009411	1021923	1009411	1021923	6	1009411,1015935,1016643,1018297,1019750,1021039,	1009617,1016218,1017447,1018522,1019874,1021923,
Vom2r4	NM_001099458	1	-	1134797	1149865	1134797	1149865	6	1134797,1136833,1144442,1145623,1146814,1149659,	1135681,1136957,1144667,1146427,1147097,1149865,
Vom2r5	NM_001099462	1	+	1234907	1243561	1234907	1243561	6	1234907,1237683,1238354,1240008,1241408,1242674,	1235113,1237966,1239158,1240233,1241532,1243561,
Vom2r6	NM_001099459	1	+	1287085	1295756	1287085	1295756	6	1287085,1289852,1290535,1292186,1293585,1294872,	1287291,1290135,1291339,1292411,1293709,1295756,
LOC679825	NM_001161691	1	-	1414176	1419334	1414176	1419334	6	1414176,1414894,1415621,1416333,1416859,1419018,	1414243,1415036,1415774,1416597,1417120,1419334,
Raet1l	NM_001013063	1	-	2150618	2155593	2150896	2155114	7	2150618,2151622,2152351,2153061,2153587,2155023,2155449,	2150963,2151764,2152495,2153325,2153848,2155157,2155593,
Lrp11	NM_001106217	1	+	2255891	2284328	2262499	2282715	8	2255891,2256217,2262344,2265565,2270552,2273562,2276442,2282560,	2256140,2256615,2262505,2265707,2270678,2273739,2276535,2284328,
Pcmt1	NM_013073	1	-	2287980	2304638	2293873	2304638	7	2287980,2293836,2295667,2296340,2300387,2303332,2304533,	2289554,2294053,2295753,2296461,2300492,2303364,2304638,
Katna1	NM_001004217	1	+	2394946	2436574	2410235	2436411	11	2394946,2410228,2412554,2415185,2420857,2423588,2424823,2433080,2434115,2434623,2436212,	2395129,2410403,2412712,2415366,2420979,2423694,2424982,2433207,2434250,2434750,2436574,
Ppil4	NM_001108457	1	+	2466683	2499257	2466712	2490551	13	2466683,2470764,2470916,2472460,2473081,2474224,2475120,2478182,2481727,2483890,2486568,2490539,2497033,	2466782,2470832,2470981,2472578,2473224,2474321,2475237,2478307,2481794,2484002,2486648,2490687,2499257,
Zc3h12d	NM_001107469	1	+	2507364	2541861	2511452	2539935	6	2507364,2511382,2524864,2534658,2538086,2539129,	2507457,2511766,2525004,2534893,2538193,2541861,
Tab2	NM_001012062	1	-	2568535	2617742	2574239	2586450	7	2568535,2573194,2574562,2581605,2586348,2617623,2617708,	2570027,2574359,2574723,2583106,2586536,2617663,2617742,
Ust	NM_001108458	1	-	2868195	3158231	2868316	3157858	8	2868195,2909494,2911347,2958834,2967302,2982999,3041612,3157608,	2868603,2909652,2911445,2958988,2967382,2983155,3041656,3158231,
